,publishedAt,title,viewCount,수익(단위:$),광고개수,썸네일 얼굴,,,,,
1192,2020-03-05T04:54:29Z,대규모 유상증자를 하면 주가는 어떻게 되나요?,12896,48.65,3,no,,,,,
1831,2019-08-18T10:41:53Z,"단일가매매 이후 주가는 어떻게 되는가? | 단기과열종목(램테크놀러지, 일지테크, 미스터블루)",11024,35.15,1,no,,,,,
1450,2019-12-21T15:52:21Z,26일 신규상장하는 천랩의 2대주주가 라이프리버라고?!,10168,34.84,2,no,,,,,
342,2020-12-31T07:07:59Z,박셀바이오 지금까지 제가 생각하고 느껴왔던 모든 것을 말씀드립니다. 새해복 많이 받으세요~!!,10031,53.12,2,no,,수익(단위:원),일별수익,월별수익,
1569,2019-10-26T02:54:00Z,키움실투대회 돌파매매는 손절이 중요하다. 아무리봐도 마하세븐님같은데 2019-10-25 10시 20분,9533,17.69,1,no,,50000,150000,4500000,
1439,2019-12-29T15:17:11Z,네오파마 만수르가 거짓정보일 수도 있다고?!,8837,36.05,3,no,,30000,90000,2700000,손익분기점
312,2021-01-11T03:45:16Z,메지온 NDA재신청 '이르면 1분기 내'라는 표현이 왜 지연우려감이 된 것일까?! 회사 입장 표명은?!,7083,20.82,1,no,,20000,60000,1800000,
1086,2020-03-21T08:54:26Z,매번 금융위기 때 등장하는 풋옵션 대박. 옵션이란 무엇일까,6589,21.35,2,yes,,,,,
1601,2019-10-16T12:00:23Z,"삼성제약, 11월 임상3상 기대감",6438,19.61,1,no,,,,,
1837,2019-08-17T03:55:14Z,옵토팩 | 투자경고 이후 주가는 어떻게 되는가? | UCI 사례 분석,6262,16.85,1,no,,,,,
1097,2020-03-19T14:25:02Z,한미통화스와프 체결(600억 달러). 환율 1300 가는 줄 알았자너~,6226,17.61,3,yes,,,,,
1081,2020-03-23T05:29:21Z,셀트리온 오후 3시30분 치료제 개발 간담회,6118,,,,,,,,
1695,2019-09-18T14:07:55Z,LSTM으로 주가를 예측해보자 #1 데이터전처리,5857,,,,,,,,
1447,2019-12-23T15:34:17Z,임상2상종료임박? 라이프리버의 헤파스템을 이해해보자,5745,,,,,,,,
1511,2019-11-14T14:52:56Z,[충격]넥스트사이언스는 북한을 넘어갈 수 있다?! 넥사는 무슨 사업을 할까?,5535,,,,,,,,
1339,2020-02-18T16:44:06Z,"저평가 자산주, 메모해놓으세요. 당신이 저평가 가치투자자라면 만족할만한 영상!",5406,,,,,,,,
871,2020-05-28T08:30:37Z,"SK바이오랜드, 인수에 인수를 하면 어떻게 되는 것인가? 한 다리 건너서 SK로 다시 들어갈 수가 있다?! (현대HCN과 SK텔레콤)",5044,,,,,,,,
250,2021-02-02T12:25:43Z,메지온 3월 26일 NDA 재제출?!,5021,,,,,,,,
255,2021-02-01T08:22:41Z,Blomberg에도 한국의 공매도전쟁이 떴다?! 타임스퀘어에 광고가?!,4897,,,,,,,,
873,2020-05-27T13:26:39Z,SK바이오랜드 시간외 하한가 어떻게 바라볼 것인가?,4827,,,,,,,,
665,2020-08-18T09:10:13Z,임상시험에 영향을 주는 bias와 random error,4647,,,,,,,,
